gram,*/*,1/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,1/1:1,2/1:1,2/2:2,3/1:1,3/2:2,3/3:3,4/1:1,4/2:2,4/3:3,4/4:4,5/1:1,5/2:2,5/3:3,5/4:4,5/5:5,6/1:1,6/2:2,6/3:3,6/4:4,6/5:5,6/6:6,7/1:1,7/2:2,7/3:3,7/4:4,7/5:5,7/6:6,7/7:7,8/1:1,8/2:2,8/3:3,8/4:4,8/5:5,8/6:6,8/7:7,8/8:8,9/1:1,9/2:2,9/3:3,9/4:4,9/5:5,9/6:6,9/7:7,9/8:8,9/9:9,*/1:1,*/2:2,*/3:3,*/4:4,*/5:5,*/6:6,*/7:7,*/8:8,*/9:9,*/-9:-9,*/-8:-8,*/-7:-7,*/-6:-6,*/-5:-5,*/-4:-4,*/-3:-3,*/-2:-2,*/-1:-1
A,0.08040605150731232,0.6865133511675412,0.04890731291286848,0.1074675678644699,0.08432654953860491,0.07340414740433522,0.06901416201002786,0.07493936773771316,0.07504809026807568,0.06742496582992841,0.6865133511675412,0.09471374778450703,0.0031008780412299284,0.20289458886790765,0.11628912760535205,0.0032189871201499967,0.025669593652472608,0.16819465440020262,0.1329691103603269,0.010472839741417517,0.06786738243491314,0.11515815924496449,0.11488050591128934,0.05703235007288868,0.012082339357620443,0.06837341075503994,0.14536082115102703,0.07963659104434667,0.05774790399261177,0.049553280509378766,0.013412964607762977,0.07470170989857428,0.10654240043925117,0.09944895964489073,0.06953076847486557,0.08660403197296693,0.07513802080268396,0.012609682930759456,0.09413729988120088,0.10114167207538591,0.07648237700657791,0.08007812089014492,0.07102947071972761,0.08334077048753213,0.08415361976474531,0.0100213913192908,0.08329628305468291,0.06963778953696594,0.06880587043067327,0.05756243350436283,0.08961927763718497,0.08964431492727741,0.08041289582713579,0.05891993901660898,0.00892588853446356,0.1168166348802091,0.09849044641903267,0.07366247676446498,0.04916087076537309,0.05480668636588828,0.06466890128874848,0.07401819838669697,0.04935208279043944,0.06231075387343618,0.0748438282754487,0.06804469223841755,0.07565598075489509,0.07851651554034075,0.10842934579284264,0.07347387531531183,0.1286075514970542,0.09194047238181131,0.028190657982695436
B,0.014846487698236691,0.010728566961447588,0.036793372112674756,0.008808707202127937,0.013029807097924432,0.01685462905938335,0.01718279387490146,0.015541503578612736,0.013902322778365889,0.010701206380988376,0.010728566961447588,0.07305835282807341,0.0005283913972761048,0.0238773156788672,0.0006079213712962171,0.0019408845562203893,0.04523115202241871,0.0025961518120063073,0.002465229936872825,0.0018266946203998786,0.05106268467063687,0.01771635989170569,0.010761434060882962,0.004026937041668512,0.0007057296320227064,0.059186126421723835,0.0049764143032606945,0.017369554200443522,0.019945494798863834,0.0011392954268616686,0.00047987809825519444,0.06159417274074726,0.007203208463892008,0.013599889736139452,0.016764064545374692,0.007929514038027502,0.001422886780829929,0.000276788745278305,0.03670334557598523,0.01015149224327741,0.010384077106391899,0.015575858258590277,0.008801833717214724,0.02811994941654222,0.0014173455329695595,6.468037595579999e-05,0.025288174037625382,0.009525052223715443,0.014921778594842585,0.009467736224120622,0.006892564150267951,0.00935953151219806,0.020398775753383194,0.00036365306265463243,9.359187008752238e-05,0.04433518880585437,0.005189070047846289,0.008734497532663942,0.009287742857912,0.005714370935511864,0.00915545748399926,0.007011221502819043,0.0056454273923227044,0.005103416500530692,0.016556465705067646,0.021139893142700844,0.02715641374865265,0.02318926099567908,0.019630589483109438,0.02135717653820696,0.016376066196435182,0.014566169803814146,0.0012298605371487486
C,0.03343773688810862,0.010913061455314852,0.001640657687626423,0.006422334291269341,0.018118810955665126,0.033588918251853346,0.03793601628006543,0.0443734628720014,0.04985190493719227,0.05163194413042997,0.010913061455314852,0.0023786227865598437,0.0009026925886930026,0.014713998261141658,0.0028365817652891132,0.001716422847377253,0.029703061964176717,0.0022118185899505385,0.03957999545537513,0.0009803678131581081,0.06355741849963593,0.006941460381531101,0.011713941654214903,0.08048795383303803,0.005243816890846766,0.07779195502163003,0.02239954401932431,0.04868355225772196,0.01748968579512495,0.050683119539363296,0.01056824104722807,0.11385610224699874,0.016578794656144723,0.05780971606354569,0.04199253123298751,0.027630290807105554,0.044854423932728406,0.007892381164499161,0.1053526447663487,0.029288915043690505,0.059496269940808144,0.04482263742176491,0.042977181843867895,0.04258322137183737,0.05058903923536937,0.023705329873851228,0.11933769442734776,0.018584152948269764,0.0788912912140651,0.06353792857295179,0.056299577882548496,0.042528751155849885,0.03446489131672519,0.04034244457979929,0.010700765076312445,0.05238034169690723,0.009476879024648893,0.034284071425776275,0.03902458527736447,0.03339210794220256,0.039917552976535986,0.0309853360733551,0.035562236554381,0.029283071891019686,0.07099816747460277,0.06265833099482192,0.07140591137644231,0.05283274251443981,0.052222494127061744,0.031315743974334544,0.018312684165903714,0.03200596507416397,0.006032733417692576
D,0.038169582783224694,0.007524245234568016,0.007403610359119986,0.06600240228681574,0.02799198217060258,0.03620003163504964,0.04398347335654295,0.03657464165216247,0.04594469680110909,0.04284646371669874,0.007524245234568016,0.013136304554095564,0.001670916164144408,0.013363490470823596,0.0014133573931077404,0.18323035899651588,0.029532468672810896,0.0028345135265560963,0.017595495369572608,0.062005451113470715,0.022899947359960926,0.005847529736685058,0.029024099299556707,0.028520991832002456,0.09470758994704304,0.04365057329960633,0.005122662816012421,0.02612372061557834,0.03414836159999109,0.014652413060342569,0.14020310874772696,0.04263444540293575,0.006928372382518241,0.016843679941262752,0.03530875502455366,0.0163925582397704,0.028053847468059317,0.10986083310603717,0.061565169762266024,0.013385841348595887,0.024611524777950516,0.0345089788854631,0.03169034284198867,0.030500583335728953,0.009597002289786183,0.1616981311670934,0.08367957193514595,0.017158978670094933,0.020776743508333657,0.025540425726008002,0.01732488093788676,0.04168268701861892,0.023390925393972455,0.011343051865480697,0.14472090839474727,0.03174190875047521,0.005359135591187357,0.06510949064604434,0.03855800415811137,0.03674262907761618,0.05877946016935279,0.045604368469369244,0.06444435423252833,0.06275738413738885,0.04470575862191985,0.0377916588440801,0.0282095213827886,0.023159237981863166,0.01936046789735369,0.025404845347609818,0.017326076817013484,0.013505880148230896,0.0998109506296555
E,0.12492062534197067,0.006950734107678901,0.05008958625393626,0.15592998084717247,0.12518822109260688,0.12955021629676933,0.13887679618562446,0.13663538745499587,0.13090065461522948,0.1340564479606661,0.006950734107678901,0.004617190586298013,0.09556198192157452,0.0050242293553639916,0.0506969177397775,0.4120687954463759,0.022104056764751374,0.13320149773220857,0.1326249241231192,0.21282240575034836,0.024508602809450147,0.09754578634088566,0.1358145141844248,0.19141466572916807,0.19846751241991795,0.0447120335577437,0.19310221679206374,0.051168302343591474,0.10417743224044564,0.2783013293603875,0.1617994628195147,0.05089177567490274,0.2221700881130031,0.06823072152634972,0.09589883701323192,0.1535845971220288,0.23333377600714572,0.13233791672830908,0.06556100871722513,0.17522300830130055,0.08613764876105169,0.13303719902694552,0.08706858402024795,0.0977100681186984,0.2657984796344353,0.13666924034193137,0.07945804279757225,0.18645322723800128,0.07772785966239379,0.15934121745028457,0.14612594162782827,0.06252386772876682,0.09972721308865597,0.2397547794103254,0.15539588264216642,0.027991265075202,0.12498600369525298,0.17722333255727526,0.15898056967108662,0.1757442015861125,0.1363475918136159,0.14688791535993337,0.1459207658448825,0.1434644308624332,0.10302840255014636,0.11375722117153482,0.10245356394577546,0.12378672594557502,0.09984338679655196,0.06452851554075045,0.09231959484048281,0.1344489264079925,0.20134006864606535
F,0.02403123383775965,0.00443586544081647,0.12460068332786209,0.018303628844980366,0.021672181637254866,0.01604861599175518,0.018541955332183946,0.014929033075075,0.011465466556946932,0.016932307019834062,0.00443586544081647,0.0007736896652782568,0.24842767699044593,0.05024287178617243,0.0022585328029325795,0.002409481945836091,0.07012081112670993,0.00014069790278728396,0.011236864356900928,0.005190353162621332,0.05268516120757053,0.015149888410750873,0.0037649510480946093,0.0038378162107016965,0.0048052630816581825,0.05543421562817983,0.011621250963742199,0.0289959440134497,0.00589259418188888,0.0017838087638896926,0.0075239184419533724,0.047680427445482815,0.009483092473435687,0.017848767515469818,0.013043557399371289,0.006232986532621633,0.002522864100659845,0.007691536058483912,0.03699095826633622,0.007075061013832886,0.019178100889621418,0.008692433542898729,0.006283562967271621,0.00983009311020032,0.0021890064431201884,0.001484516222294081,0.03821996939332984,0.01030535474015985,0.04277099903495511,0.030019030206139264,0.00542246608953649,0.018940304100737316,0.004144736438286517,0.0016097464756072446,0.0009581566997549272,0.04026683139840961,0.05038255745464299,0.01464494279359777,0.010881110266222373,0.005613868029380128,0.010176072421708263,0.005337462513372543,0.0033983254294740633,0.001209627578849048,0.029195382058134885,0.027200754076366546,0.029742231521611876,0.025480373842839535,0.0206752119717868,0.028766506097459364,0.016107272374497373,0.003367811659429767,0.04714276550562804
G,0.018693758446142437,0.0030376498423602453,0.0017308692446325684,0.004372261676939007,0.009556923915645478,0.02425244315513253,0.02715578171420362,0.0306435754429931,0.026182756900131797,0.02487762952125595,0.0030376498423602453,0.002812509844017999,0.0006492286452471378,0.0073382603098254735,0.0022604341602286224,0.0035180905607629254,0.01847905071579852,0.0010702083589020335,0.008355144205915084,0.010323292381966272,0.03680601332540144,0.006103031292683904,0.03234044252663527,0.015565041995918764,0.030447686635023275,0.02757025469689511,0.003244094687222681,0.02806675361523521,0.03035108462091821,0.029931013429349288,0.04377148923560123,0.0292859507893415,0.007687299043675458,0.022729136124166466,0.01959210195461321,0.023371131238815627,0.029928266668535625,0.08191114228180381,0.015838792212643622,0.002335305352424513,0.021919080438777622,0.02869868179818089,0.017000621120596113,0.01652663936316843,0.029583561415927866,0.07755937349933532,0.018403650199684665,0.004631819774572841,0.025572091412669567,0.01806576163811625,0.01773689139571128,0.009228663163465064,0.010849778676937838,0.02127444179834458,0.09813556763180148,0.016417121563643923,0.00295048071428459,0.017431344040916695,0.018305650381420586,0.024712499096778424,0.025512501512824075,0.03867076859301148,0.03748399601086757,0.0461686856979888,0.015218637662180153,0.013474306873419228,0.01919461778840554,0.019470914154142135,0.021946948205427735,0.0159857672124018,0.014582099190950434,0.012466032938358686,0.029392075307755828
H,0.05053301406632262,0.003265617600660416,0.01666928793572098,0.1485993316951101,0.08516082205612935,0.06461467910293672,0.032758823217186074,0.029492162548381284,0.02003967448590831,0.01563644024629841,0.003265617600660416,0.03200729875833769,0.0013312771131042786,0.07607775625177733,0.36929153589684804,0.00042870293670492466,0.05898630574312829,0.19609070917728022,0.002639596273823509,0.08292667703028536,0.0287780958014201,0.1827947697975709,0.018609503681061186,0.02054046112868055,0.07235056510595092,0.032268232738412804,0.0605620438997702,0.015894664552210325,0.040612040596892836,0.013338425095832749,0.033877532419997525,0.04214004634614908,0.055074042044691185,0.007764216153038386,0.029496138488709047,0.03605042183697216,0.011607800292555974,0.024312472676553145,0.01896582414860791,0.03959875805526568,0.009428016985362008,0.0200818503824506,0.029128204732317278,0.019003202487775036,0.003914167421299725,0.020197371674188246,0.014398226065005973,0.034688325659969335,0.010263942493254262,0.021361714843247163,0.014320904113173263,0.023065519333521776,0.009340494326311734,0.005078694793065361,0.008210140589136812,0.041996551888301904,0.14449194213110894,0.007413742181616897,0.040472977012912977,0.034256024032810174,0.020030041805375893,0.014771197698658237,0.013810672510176047,0.011105181311582632,0.021749345196054766,0.019701105890568813,0.02983177424451478,0.028179126682396884,0.025891932560770093,0.060864669293631164,0.07032210710866293,0.08950355184674608,0.02711869232156907
I,0.07569277540220806,0.17419800216234888,0.12747184940948691,0.021590669193162666,0.05603009399233131,0.062284225353625475,0.061802564049868065,0.07152805394168904,0.08808292301900614,0.09569204198578615,0.17419800216234888,0.2514110224090668,0.003532676409906987,0.011931019300505176,0.05032408487308472,0.0025169034058981033,0.015205214135532007,0.14471220550284616,0.06158445204846818,0.002618504282478892,0.011391452985318596,0.09146441064123602,0.13516184940850673,0.07070964782929103,0.0026937659037750013,0.024572655038882667,0.09748030405941151,0.056874487977615754,0.14414514417377403,0.04590382178352595,0.0018389712659984973,0.02270693637951023,0.08944291961294758,0.06015689668460483,0.09064301697613296,0.20125310942286523,0.03479416478627424,0.0016993337294882599,0.05078589288592173,0.06877158556574114,0.057944343905721285,0.1237978304613379,0.12485186173617063,0.2306493851852793,0.04623144728068379,0.0016310371311932885,0.07376748828320014,0.08050606021119565,0.04251094119721533,0.09789500967070738,0.11968516682574032,0.12535329019995517,0.2969863744793491,0.023751120576380364,0.0007729264283319472,0.07294056329084231,0.0723134663178742,0.052082449459340985,0.07657334405255357,0.09394347378434162,0.09333479916046046,0.09940120369792924,0.08877931074484743,0.09332229095515873,0.07516171896501903,0.06962842496214168,0.06693743851696983,0.07346570945927099,0.08174284490780889,0.07737327547361407,0.14705056219057414,0.08660443473913403,0.007520669480250651
J,0.0015877372404490017,0.004572866756332571,0.0003837174509125208,0.0006101696156762582,0.0029392828873144212,0.0020530645741823872,0.0018062144430899421,0.0025410947511779036,0.0017790172395388988,0.001146358121939995,0.004572866756332571,0.0004391194805972559,0.00032831542122778565,0.0017343949397809208,2.2723050670007143e-05,7.339085657784645e-05,0.011589219060371957,2.768895458689372e-05,0.00012158762160241658,1.8635912696417626e-05,0.00741654484422255,3.585936999852338e-05,0.0027050097234286056,9.401494659285194e-05,1.3893986669405655e-05,0.0070946395584313175,3.220405803664693e-05,0.003381518510719218,0.00024188436336223049,7.024975669563683e-05,1.6790411294603644e-05,0.0093763567756451,6.151815897763347e-05,0.00287226041200851,0.005352903553457272,5.589500850092798e-05,5.6274466421081496e-05,1.2454883234799593e-05,0.006317603417889603,5.7773166428814934e-05,0.004457153932159685,0.0032094772560657134,5.957508651534076e-05,3.698596042524258e-05,9.356909682679156e-05,0.0,0.003647352930687175,3.895155128781586e-05,0.004802732233142879,0.001559606575799682,0.0001720720636521632,4.876633963490907e-05,3.958254005451538e-05,8.158863200816946e-06,0.0,0.005110048527637498,8.876770134344476e-05,0.0018721109181373346,0.0014677429815240126,6.193012586330429e-05,4.929884676750095e-05,4.072203690685657e-05,2.963106748891228e-05,1.57154849570417e-05,0.0019137265974704845,0.003237787346923364,0.004199360825012986,0.002811317557485594,0.002777302146216222,0.004137414230594617,0.0008579586859359652,0.00013039880189122128,0.00021689062590875619
