,*/*,2/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,2/1:2,3/1:2,3/2:3,4/1:2,4/2:3,4/3:4,5/1:2,5/2:3,5/3:4,5/4:5,6/1:2,6/2:3,6/3:4,6/4:5,6/5:6,7/1:2,7/2:3,7/3:4,7/4:5,7/5:6,7/6:7,8/1:2,8/2:3,8/3:4,8/4:5,8/5:6,8/6:7,8/7:8,9/1:2,9/2:3,9/3:4,9/4:5,9/5:6,9/6:7,9/7:8,9/8:9,*/1:2,*/2:3,*/3:4,*/4:5,*/5:6,*/6:7,*/7:8,*/8:9,*/9:10,*/-9:-8,*/-8:-7,*/-7:-6,*/-6:-5,*/-5:-4,*/-4:-3,*/-3:-2,*/-2:-1,nMin1
AA,0.0003004796868695556,0.000608811843863373,0.00027905469590444544,0.00036925422530423736,0.0007768423852060107,0.00041598066437372215,7.287314410959773e-05,4.117768048320152e-05,0.00021643404352483583,0.000608811843863373,0.00019095732529753525,0.00043276192681852523,0.00033098342834682575,0.0005662631077211681,0.00012744283769623092,0.001085191394891713,0.00041237801933574067,0.0013068430419476023,7.824697034702801e-05,0.0002248323001110353,0.00016090725426793685,0.00033937934726465286,0.001704780712412529,4.914142553365435e-05,2.439171037966063e-05,0.00015244677481259864,8.095763749018444e-05,0.00013507942485231422,2.079680692350686e-05,0.0,2.7948929651895993e-05,0.00010502641428610764,0.0001108013329633299,0.0,0.0,0.0,3.0680312592970806e-05,0.0,0.0,0.0,0.0003231464424222799,0.0,0.0003168698774272998,0.0010246985414411745,0.0,0.0002998067456783762,0.0003646155304802196,0.0003877647724470922,0.0004066155096349967,3.301945432427333e-05,6.1652052239323e-05,0.0002289780552607432,0.00036517091592321705,0.0,0.00015268657086069213,3.72250042839155e-05,7.692284285988665e-05,0.00014922113212582975,0.0002194240662392197,0.00031151013673279347,0.0005067424285226548,0.00026732375899685693,A
AB,0.024398444276139984,0.0009359664931896313,0.0010189140890996338,0.008357892627345726,0.06716013488823798,0.02015255257007857,0.016840967693933367,0.0271910026246349,0.03861196996615039,0.0009359664931896313,0.0007290503117071673,0.0015246517548024115,0.07051966074978518,0.0031665348034214777,0.0029242344536418805,0.25895848579619296,0.051863417957931535,0.002087597568549583,0.0008864454080952953,0.026260119490883038,0.024186800676157576,0.03232896597500091,0.0008589806295284867,0.002806748114785985,0.04701215890446887,0.01672240808363468,0.011160110162413629,0.030931085990027075,0.0006657424346593502,0.00013691307120089155,0.04231734772654134,0.01201833173422685,0.011307300458982724,0.01205812298305419,0.12672671067415342,0.00025970033337678535,0.0,0.0412758713794776,0.011219232522348339,0.04144401472904632,0.04063724372127591,0.029338942757035483,0.12301266851975674,0.0002381463916798953,0.0,0.03332869003319514,0.014840499754009405,0.010761226349246242,0.028515273631022863,0.0362096951708656,0.02811978410154519,0.03586871163207007,0.03298909385325198,0.043117878454222575,0.04331954853488001,0.04483771990167707,0.04045839544078435,0.01757067610350616,0.051691014680014455,0.0817970740036632,0.0014269872878595528,0.001428504316370221,A
AC,0.04754391139343117,0.0010068922980305181,0.006019773547504706,0.05417740784643221,0.05454870599577538,0.06552753201178567,0.055133459105340725,0.07818130486384343,0.060989864433260245,0.0010068922980305181,0.008618963640144868,0.0014848560010814447,0.06729738255658084,0.09489340121278952,0.000142325315720012,0.022852981484908236,0.027052807878405482,0.1262090561799558,0.0034392144826354597,0.1718493343366997,0.03626101836382617,0.06557856249147312,0.06709427306816454,0.002768423430861601,0.08590623339693282,0.06743246394107066,0.06302824149890177,0.020303316542222526,0.07566757870966738,0.00521408161898289,0.1469938296493132,0.036117437513820315,0.1561785088868825,0.0647414878959909,0.04676975491871508,0.09771478539962689,0.0008301315157025578,0.11006211479153215,0.07483020824230321,0.11236008158399939,0.03205673341715528,0.0773627757209103,0.024139919993114593,0.04191503161567377,0.0007295170313670692,0.04703120317208631,0.047131449875123944,0.0647551218326636,0.03422158055495364,0.06831459910291302,0.062404301821349505,0.01705873686080502,0.009412562413236911,0.009936174990045198,0.09399553150669605,0.10966789729020511,0.07026931712792665,0.11028696437598527,0.040005300162240215,0.03381101767620036,0.0572883395590336,0.001420393311742815,A
AD,0.03906916812180114,0.002809654720062804,0.05890758711685329,0.046370731335562895,0.03506984165550411,0.033082338753248904,0.0452857798840091,0.0335554489752683,0.0321556343083868,0.002809654720062804,0.002993387192949047,0.15646347079274406,0.015708993939663688,0.04567321752172219,0.05317225412562362,0.04573558445190542,0.014808862403492159,0.04939734181301357,0.03442828582542387,0.03890980376268896,0.015184537272815348,0.05223546638599708,0.04062469734965294,0.037973039553261936,0.06800017951754786,0.014732299436003533,0.08076941739401217,0.026339713852565515,0.051146950589096206,0.029838997415845083,0.10173045938151735,0.006203543593821342,0.041011234942481184,0.03308997960250717,0.0144297158133623,0.012845133576852602,0.020485875355905785,0.10188254990472739,0.021708082397925613,0.07471411833096803,0.018762065661514955,0.012200085336288585,0.006143101615007372,0.008096851477995657,0.012080229014233373,0.029933526398043267,0.05804716717379592,0.05850149599557524,0.0308960754545534,0.030447201028053456,0.016688071723954954,0.010673771997381029,0.008212255515633695,0.005221423883050195,0.06494639531067754,0.076428592501424,0.03784329479546984,0.023350564658565068,0.029418712148524477,0.01985310119018474,0.024757365285296144,0.06209961737511037,A
AE,0.001316247493437448,0.0003116803552060317,0.0002614836548057214,0.0002976058091816206,0.0005820993068149202,0.003578142478705107,0.00261769031437113,0.0011279695759051642,0.002163610101091309,0.0003116803552060317,0.00011949140155588418,0.0005092235806165297,0.00044436729370211366,0.0002980684304309488,0.0002686884306851866,0.00044170389381632797,0.00045004047889011714,0.00014481112277630999,0.001896648127572257,0.0022781933718380143,0.0019162531848623786,0.0004263805159647344,0.013131383197134167,0.004178940186207991,0.0012915578395711353,0.0007014214808075021,0.0012349641962786976,0.002786435296552668,0.00850846960633231,0.0015375542286111055,0.0007543116008858454,0.0006808621111401954,0.00046992550446162996,0.0009712908209377205,0.0019131710952718503,0.00012740219154324807,0.003158628189968312,0.007541843152756281,0.0007037169014819196,0.0015598680327083222,0.0013698705942514363,0.0023139696622985753,0.000657098229032711,0.00026097225184015056,0.0024263262164588386,0.0008657300688200596,0.0007461394045746274,0.0005772294958568349,0.003926017451246232,0.005311974784495853,0.0006818669725042697,0.001132552460559757,0.001193957865800443,0.001213351283786683,0.004607584662808526,0.0007157705091690202,0.0016924724347320902,0.0010419218589091817,0.0011840936746358099,0.0008502864443758887,0.0013780138741291375,0.0010016863774039585,A
AF,0.007879240927835299,0.00035690857715632384,0.0002566821401898682,0.0028178852962126976,0.0340616105849394,0.012191804873360272,0.007390715904145331,0.005754903339034375,0.008150042286340092,0.00035690857715632384,0.00026678224432143344,0.00023906005876664604,0.0028347209540239555,0.003137265608797428,0.0024106461589005414,0.14924849759721953,0.0020205302373462954,0.014916873837182133,0.0002512620070618296,0.04779549079463021,0.008270016235349504,0.004438361976638714,0.000922950508261629,0.00016312508011741568,0.036847033975475896,0.0013884293270794634,0.00826706512555007,0.0004854318574476038,0.0002952904511973603,2.4682562456852366e-05,0.022529679746736267,0.0009741827609018166,0.0066335375764297036,0.001124010713354944,0.00013633160443366057,0.006723467555908255,0.0001270331115063431,0.04462313657424917,0.004543756072126983,0.004295894712111128,0.0008176450011506722,0.0039656620104565315,0.0003764423512235428,0.0009174779590764262,0.0005765593063648362,0.021226284074962565,0.0026342298162841545,0.0067185497192537025,0.000728891872037802,0.0009180120854896193,0.0027117860807929256,0.0005725373210365591,0.0021122759095868206,0.00027734749510615513,0.0216649986078605,0.012976987602602302,0.012598066445016367,0.012194949193836707,0.027146353199790366,0.0017075062787317067,0.0032827331646770683,0.0007162375623833605,A
AG,0.02173744333282451,0.00044198012303181447,0.006823595671798378,0.008583384957908495,0.031244070879987207,0.023057545543523746,0.045014294155514806,0.030593243116050783,0.029563004246004134,0.00044198012303181447,0.009253396870299769,0.0025842181362324525,0.025872404605501775,0.010824218229193763,0.00241128766093732,0.08322486753377754,0.022253929597749727,0.02498170534984611,0.00015489496860478556,0.041243809747825246,0.008238095467951298,0.03520379613593981,0.039529926790721544,0.002719417529959676,0.09609461183205065,0.009378160064900642,0.022474630907422213,0.04310702683117911,0.11085527115530205,0.0004701070427916419,0.01357980943581567,0.019226924977130976,0.01961333308994748,0.02222487170522974,0.04071065101981221,0.10399067141189726,0.0,0.04620191308169163,0.02790284061528596,0.04083775565162211,0.022292841277304472,0.010590924961954046,0.030922276619290135,0.049889064865312756,0.0009870354019141997,0.024777837261198726,0.011138339890830415,0.019640523803662893,0.032355572791541796,0.04663831033472357,0.033871577898585484,0.020328063668206872,0.016679418786749257,0.0031477485691809386,0.03569139848457819,0.021481909946302776,0.059630257396294024,0.020047770890524605,0.022986135462760092,0.030042362861648596,0.026644820087610134,0.00150866601989816,A
AH,0.0014486285777218638,0.0016184222034091782,0.00020655993858420627,0.0013117383690547599,0.0036906779038486303,0.0024906266117721647,0.0020870118033443244,0.00169297301017303,0.0006572120148397802,0.0016184222034091782,0.00010467358287405499,0.00038432539850936204,0.0007575130839316439,0.0006997254545122511,0.0021928756361499274,0.007673400679071232,0.0015199729211029117,0.0010329127894612758,0.008687891256069839,0.00019743057637399601,0.0020907138397107013,0.0031538811223651504,0.0003544736896899371,0.00825138162356693,4.5674611129705405e-05,0.0023778610857332714,0.0012929183756783863,0.005067826837761903,0.00023105399338094022,0.004135913692346673,2.624499915382105e-05,0.002113980382086388,0.0013840690354071637,0.0025963054020372014,0.0008821226522914219,0.00018328572659522972,0.004652099529953242,0.0004998406329450052,0.0011205442835885426,0.0004268229782800759,0.001500457620921347,0.00018964678939451866,0.00040927906324185,0.0001920308750788937,0.0015005778759171313,0.0009769959491984655,0.0012211268944362912,0.0016761039555593675,0.0037637492817905608,0.0020075168859012716,0.0013985981111438825,0.0014301006603842797,0.0006412899198949524,0.0004263892083216818,0.0007758885284168182,0.0005491807829188614,0.0011513884285914418,0.0012487089998314048,0.0022102535423004885,0.0017659707236701947,0.00039645950662815674,0.0024756027626985093,A
AI,0.033600040127627455,0.0006340739739993736,0.006503624574448469,0.04695337038240978,0.04693890759269306,0.042381455435984934,0.05924294983951043,0.045408999107297565,0.04242907864107941,0.0006340739739993736,0.009490932069860224,0.0012915420815732565,0.01749812016434539,0.08799834359831558,0.0007212735876988679,0.007774763091056147,0.052852765349404945,0.08616276504539938,0.00259359155017282,0.003921037507138749,0.044610885750038506,0.0425383567697634,0.11732896695472175,0.001315382021798459,0.005056188247582206,0.05326833429090532,0.09376042440242545,0.06882827519960089,0.11630385995734664,0.0012628063129969253,0.010838920566531848,0.04702267676783845,0.05878939766383853,0.10388039375671496,0.057527591557641734,0.04753835765409397,0.0020031432180106167,0.0018749976951406482,0.02407708840557463,0.08388930624594375,0.06136998082820761,0.10192647299595653,0.036484227913472556,0.022456151981907264,0.000336268714423315,0.006743201382292774,0.04631773074902223,0.04611165405687602,0.06197788686043781,0.07413832812986365,0.028364604193788785,0.014557566839636073,0.0026242118394541477,0.0023086717294571544,0.012838039308984493,0.01761634283368925,0.035029682717779405,0.044057367482192494,0.05153882098948197,0.042203291029660674,0.052370201411706674,0.0010742839350618635,A
AJ,0.0012478800954549571,0.00019776655793239293,9.718963690402174e-05,0.0002375649279048944,0.006258427870251071,0.00042317112182516044,0.001134139701946131,0.0030286584212086956,0.00023659168176900843,0.00019776655793239293,2.6468554349140567e-05,0.00022057971871770267,0.0006514630443747103,0.0003622074186415072,0.0,7.547321331240839e-05,0.019067443193997786,5.717718842980983e-05,0.0002436158890813515,5.576174477705671e-05,0.0005428735714909823,0.000284323851012473,0.000939179658253008,0.00020078216776521515,2.63172046916015e-05,0.005017155318898873,0.0,0.00027380378008623165,0.00020103931987361853,0.00010229879678220088,0.0,0.01703752097848356,0.0,0.0002962853595604818,0.00010803943029335741,0.00040083089113206015,0.0,0.0,0.001546296067462383,0.0001439092380373558,0.0001172120013918658,0.0,0.00014776689390906084,4.8275503665222255e-05,0.0,8.213645096000614e-05,0.004314448766536935,0.00018279195464997582,0.0003381043492771055,0.00015697862962950533,0.00016317188055387375,5.863000680462443e-05,0.0,0.0,0.00035465977570045104,0.0008572648598922987,0.005453411163695989,0.0016650390185100217,0.00019740648653211414,0.005594646982659447,0.00018521392267105267,0.00012893353650815325,A
